n,k,iters,trials,stdT_median,stdT_p95,stdT_std,awaT_median,awaT_p95,awaT_std,stdN_mean,awaN_mean,stdMem_mean,awaMem_mean,stdViol_mean,awaViol_mean,awaViol_p95,awaPushes_mean,stdSmooth_mean,awaSmooth_mean,stdLen_mean,awaLen_mean,resolutionRate,speedupRatio
200.0000,8.0000,2.0000,20.0000,22.9060,25.5050,1.3703,955.6025,1491.3290,259.3145,800.0000,1020.4000,51200.0000,65305.6000,136.4500,0.5000,2.0000,438.5000,0.5214,0.5830,43167.9525,47922.9880,0.6500,41.7184
200.0000,8.0000,3.0000,20.0000,42.3270,345.7890,65.9765,1175.2315,23941.3390,4976.1868,1600.0000,1005.6000,102400.0000,64358.4000,248.7000,3.4000,51.0000,422.3000,0.2625,0.5831,42536.9287,47431.5583,0.7500,27.7655
200.0000,8.0000,4.0000,20.0000,86.8295,648.5610,156.7504,1098.4110,1739.9150,308.6382,3200.0000,997.8000,204800.0000,63859.2000,488.2000,3.8500,35.0000,453.9500,0.1311,0.5756,42126.2684,46816.8311,0.3000,12.6502
200.0000,8.0000,5.0000,20.0000,145.9995,784.2310,139.4478,1591.5195,2108.9550,425.5431,6400.0000,983.0000,409600.0000,62912.0000,906.2500,3.5000,19.0000,388.1500,0.0654,0.5707,42329.5164,46790.6425,0.5000,10.9009
200.0000,8.0000,6.0000,20.0000,301.1935,846.1940,175.5437,1328.7685,2388.6750,579.3938,12800.0000,986.1000,819200.0000,63110.4000,1996.7000,3.1500,16.0000,424.1500,0.0323,0.5773,41815.5170,46602.1074,0.4000,4.4117
