n,k,iters,trials,stdT_median,stdT_p95,stdT_std,awaT_median,awaT_p95,awaT_std,stdN_mean,awaN_mean,stdMem_mean,awaMem_mean,stdViol_mean,awaViol_mean,awaViol_p95,awaPushes_mean,stdSmooth_mean,awaSmooth_mean,stdLen_mean,awaLen_mean,resolutionRate,speedupRatio
200.0000,0.0000,4.0000,20.0000,92.7630,505.2610,91.1267,83.5035,122.6180,14.9005,3200.0000,800.0000,204800.0000,51200.0000,0.0000,0.0000,0.0000,0.0000,0.1309,0.5245,42593.1308,43480.6918,1.0000,0.9002
200.0000,4.0000,4.0000,20.0000,88.8020,3144.8030,665.2027,719.8105,37611.9140,8025.3828,3200.0000,921.3000,204800.0000,58963.2000,287.4500,1.7500,21.0000,245.4000,0.1294,0.5544,41733.3714,45133.5812,0.6500,8.1058
200.0000,8.0000,4.0000,20.0000,75.7985,620.4310,118.5269,1017.6980,27445.1320,5741.5964,3200.0000,1009.6000,204800.0000,64614.4000,511.7000,1.8500,25.0000,417.5000,0.1296,0.5712,42457.7451,47272.7353,0.7500,13.4264
200.0000,16.0000,4.0000,20.0000,75.9875,98.4970,6.7610,2592.9990,3902.5520,455.0990,3200.0000,1106.6500,204800.0000,70825.6000,1013.7500,6.6000,25.0000,840.3000,0.1284,0.6466,42395.7851,50787.7978,0.2000,34.1240
200.0000,32.0000,4.0000,20.0000,74.9580,101.8200,8.6779,2548.1030,29557.2890,5888.0210,3200.0000,650.6500,204800.0000,41641.6000,2030.6000,39.1000,80.0000,700.9500,0.1308,1.2603,42141.6800,56544.7886,0.0000,33.9937
